date,all_calls,inbound_calls,outbound_calls,voicemails,missed,abandoned,forwarded,cancelled,minutes,acd,inbound_minutes,outbound_minutes,callbacks_requested,callbacks_completed,callbacks_cancelled,callbacks_connected,callbacks_unconnected,missed_voicemails,other_voicemails,missed_transferred,asa,handled,answered,answered_transferred,message,spam,in_queue_voicemail,dtmf_voicemail,direct_to_voicemail,transfer_voicemail,outbound_connected,connected_transferred,transferred_out,transferred_in,dtmf_transfer,auto_transfer,router_transfer,forward_transfer,timezone,ringing_duration,avg_ringing_duration,hold_duration,avg_hold_duration,talk_duration,avg_talk_duration,queued_duration,avg_queued_duration,callback_agent_missed_rejected,direct_callback_agent_missed_rejected,direct_callback_cancelled,scripted_ivr_transfer,average_percent_ai_talk_time
2025-12-15,1024,461,563,16,52,64,0,49,2432.1,3.1,1806.4,625.7,0,0,0,0,0,4,12,9,0.2,781,267,8,0,0,0,0,12,0,514,14,99,76,0,68,0,0,US/Pacific,52.68,0.11,184,0.24,2247.22,2.88,31.81,0.07,0,0,0,0,18.13
2025-12-16,1016,446,570,24,74,54,0,61,2699.6,3.6,1591.5,1108.2,0,0,0,0,0,14,10,13,0.2,748,239,7,0,0,0,0,10,0,509,10,99,88,0,69,0,0,US/Pacific,57.78,0.13,141.02,0.19,2557.58,3.42,28.48,0.06,0,0,0,0,23.34
2025-12-17,1035,412,623,21,75,37,0,67,2225.6,2.8,1423.1,802.4,0,0,0,0,0,11,9,8,0.1,803,247,5,0,1,0,0,9,0,556,4,61,55,0,44,0,0,US/Pacific,55.87,0.14,126.71,0.16,2098.05,2.61,19.72,0.05,0,0,0,0,23.34
2025-12-18,955,387,568,17,53,52,0,59,2251.4,3,1563.5,688,0,0,0,0,0,9,8,7,0.2,744,235,4,0,0,0,0,8,0,509,12,62,48,0,39,0,0,US/Pacific,50.34,0.13,168.52,0.23,2081.7,2.8,24.59,0.06,0,0,0,0,24.57
2025-12-19,825,365,460,21,36,62,0,51,2132.3,3.5,1240.3,892,0,0,0,0,0,4,16,5,0.2,618,209,7,0,1,0,0,16,0,409,18,72,49,0,42,0,0,US/Pacific,41.69,0.11,158.79,0.26,1972.94,3.19,25.54,0.07,0,0,0,0,23
2025-12-20,160,71,89,4,9,12,0,3,502.1,4,340.5,161.7,0,0,0,0,0,1,3,2,0.2,124,38,1,0,0,0,0,3,0,86,5,17,10,0,9,0,0,US/Pacific,10.34,0.15,35.36,0.29,466.57,3.76,5.09,0.07,0,0,0,0,28.67
2025-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-22,839,386,453,18,51,46,0,57,1776.3,2.8,1178.4,597.9,0,0,0,0,0,5,13,8,0.2,633,237,4,0,2,0,0,13,0,396,6,55,47,0,37,0,0,US/Pacific,51.55,0.13,125.26,0.2,1650.47,2.61,20.04,0.05,0,0,0,0,22.7
2025-12-23,654,375,279,29,58,56,0,34,1644.8,3.8,1044.2,600.7,0,0,0,0,0,10,19,16,0.2,434,189,3,0,2,0,0,19,0,245,9,79,67,0,51,0,0,US/Pacific,45.86,0.12,155.3,0.36,1489.31,3.43,31.32,0.08,0,0,0,0,22.52
2025-12-24,263,133,130,15,18,24,0,10,428.7,2.4,356.6,72.1,0,0,0,0,0,4,11,3,0.2,179,59,2,0,0,0,0,11,0,120,4,31,22,0,22,0,0,US/Pacific,17.03,0.13,35.88,0.2,392.46,2.19,8.09,0.06,0,0,0,0,24.36
2025-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-26,578,506,72,89,11,229,0,11,302,3.6,203,99,0,0,0,0,0,3,86,0,0.1,83,22,0,0,1,0,0,86,0,61,2,159,155,0,157,0,0,US/Pacific,6.84,0.01,31.23,0.38,270.68,3.26,29.45,0.06,0,0,0,0,17.73
2025-12-27,243,59,184,17,15,9,0,17,219.1,1.2,108.1,111,0,0,0,0,0,4,13,4,0.2,184,17,0,0,0,0,0,13,0,167,2,11,4,0,5,0,0,US/Pacific,5.99,0.1,22.04,0.12,196.65,1.07,8.04,0.14,0,0,0,0,17.71
2025-12-28,4,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0.67,0.17,0,0,0,0,0,0,0,0,0,0,0
2025-12-29,757,377,380,32,41,42,0,65,2230.8,4,1621.5,609.3,0,0,0,0,0,14,18,3,0.2,560,245,4,0,0,0,0,18,0,315,10,48,35,0,31,0,0,US/Pacific,52.03,0.14,121.81,0.22,2108.48,3.77,21.45,0.06,0,0,0,0,22.43
2025-12-30,694,402,292,25,48,70,0,38,2650.3,5.7,1716.5,933.7,0,0,0,0,0,9,16,8,0.2,468,214,5,0,0,0,0,16,0,254,16,83,64,0,54,0,0,US/Pacific,48.67,0.12,178.13,0.38,2471.51,5.28,28.09,0.07,0,0,0,0,20.88
2025-12-31,138,68,70,6,17,4,0,2,472.6,4.3,313.6,159,0,0,0,0,0,3,3,2,0.2,111,43,0,0,0,0,0,3,0,68,2,5,3,0,1,0,0,US/Pacific,14.43,0.21,37.09,0.33,435.4,3.92,1.31,0.02,0,0,0,0,29.94
2026-01-01,53,52,1,17,2,33,0,0,2.7,2.7,0,2.7,0,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,16,0,1,0,1,1,0,1,0,0,US/Pacific,1.09,0.02,0,0,2.72,2.72,0,0,0,0,0,0,27
2026-01-02,830,448,382,49,53,96,0,40,1919.3,3.5,1480.8,438.5,0,0,0,0,0,7,42,4,0.2,543,201,9,0,0,0,0,42,0,342,14,85,71,0,58,0,0,US/Pacific,49.85,0.11,128.91,0.24,1779.02,3.28,38.05,0.08,0,0,0,0,23.8
