name,type,all_calls,inbound_calls,outbound_calls,voicemails,missed,abandoned,forwarded,cancelled,minutes,acd,aht,inbound_minutes,outbound_minutes,time_in_system,service_level,callbacks_requested,callbacks_completed,callbacks_cancelled,asa,callbacks_connected,callbacks_unconnected,missed_voicemails,other_voicemails,missed_transferred,short_abandoned,handled,answered,answered_transferred,message,spam,in_queue_voicemail,dtmf_voicemail,direct_to_voicemail,transfer_voicemail,outbound_connected,connected_transferred,transferred_out,transferred_in,dtmf_transfer,auto_transfer,router_transfer,forward_transfer,timezone,ringing_duration,avg_ringing_duration,hold_duration,avg_hold_duration,talk_duration,avg_talk_duration,queued_duration,avg_queued_duration,wrapup_duration,avg_wrapup_duration,average_percent_ai_talk_time,callback_agent_missed_rejected,direct_callback_agent_missed_rejected,direct_callback_cancelled,open_inbound_calls,open_missed_calls,open_abandoned_calls,scripted_ivr_transfer,dids
AI - PURL,Department,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AI Mailer Spanish,Call Center,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+19493174585
AI ReXfer Spanish ,Department,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AI-Mailer (deleted),Call Center,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AI-Retransfer,Department,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AI-Retransfer (deleted),Call Center,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Advantage Live Lead AI,Call Center,1193,1089,104,0,80,54,0,4,4603,7.1,7.1,4392.5,210.5,0.2,546,0,0,0,0.2,0,0,0,0,38,26,650,550,15,0,0,0,0,0,0,100,0,462,0,0,409,0,0,US/Pacific,111.59,0.1,285.61,0.44,4315.93,6.64,107.66,0.1,0,0,20.33,0,0,0,550,80,54,0,+12133010269
Advantage Live Leads,Call Center,1511,1229,282,0,108,115,0,37,1277.9,1.4,1.4,1096.2,181.7,0.2,674,0,0,0,0.2,0,0,0,0,30,94,922,677,3,0,0,0,0,0,0,245,0,364,1,0,331,0,0,US/Pacific,121.76,0.1,96.05,0.1,1176.85,1.28,63.24,0.05,0,0,24.22,0,0,0,677,108,115,0,+19493281684
Direct Email Campaign,Call Center,1,1,0,0,0,0,0,0,1,1,1,1,0,0.2,1,0,0,0,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0.12,0.12,0,0,1.01,1.01,0,0,0,0,57,0,0,0,1,0,0,0,+18336714433
Direct Website ,Call Center,1881,1617,264,327,145,415,0,34,4127.6,4.2,4.2,3487.6,639.9,0.2,760,0,0,0,0.2,0,0,41,281,0,127,991,761,9,0,13,0,0,281,0,230,3,14,5,0,2,0,0,US/Pacific,151.54,0.09,429.8,0.43,3676.08,3.71,150.45,0.09,0,0,21.42,0,0,0,761,145,415,0,"+19492987521,+19492986442,+18003441202,+19492272776,+19493267048"
Emergency Social F&C (deleted),Call Center,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
